species_code,common_name,scientific_name,avg,stdev,lower95,upper95,habitat,tipping_pt,sum_cna,over_upper95,under_lower95
coshum,Costa's Hummingbird,Calypte costae,0.3701386963873794,0.0033460194790228,0.3635804982084947,0.3766968945662641,Aridlands,NA,0.21668015245868588,0,1
cacwre,Cactus Wren,Campylorhynchus brunneicapillus,0.3701262258337039,0.00260980163737241,0.3650110146244539,0.3752414370429539,Aridlands,NA,0.3258958913610428,0,1
sprgro,spruce grouse,Canachites canadensis,0.3700254593553921,0.00171805140951744,0.3666580785927379,0.3733928401180463,Forest,NA,0.03315968825563242,0,1
y00678,crested caracara,Caracara plancus,0.3701811579787664,0.0037306297987637,0.3628691235731895,0.37749319238434326,Aridlands,NA,0.4458500551359916,1,0
canwar,Canada Warbler,Cardellina canadensis,0.36986786258638266,0.00174897772892541,0.3664398662376888,0.3732958589350765,Forest,Tipping Point,0.563261340507359,1,0
wlswar,Wilson's Warbler,Cardellina pusilla,0.36990973988487663,6.250707097613603e-4,0.3686846012937443,0.3711348784760089,Forest,NA,0.26602410251784014,0,1
refwar,Red-faced Warbler,Cardellina rubrifrons,0.36962558346580954,0.01000039553216297,0.3500248082227701,0.389226358708849,Forest,NA,0.4714099321292986,1,0
norcar,Northern Cardinal,Cardinalis cardinalis,0.3699949445460582,6.988760315320519e-4,0.36862514752425535,0.37136474156786103,Forest,NA,0.6305354855940513,1,0
pyrrhu,Pyrrhuloxia,Cardinalis sinuatus,0.37012428362871486,0.00328755274714443,0.36368068024431177,0.37656788701311794,Aridlands,NA,0.4797924164603158,1,0
turvul,Turkey Vulture,Cathartes aura,0.3699253603315702,5.903235868865971e-4,0.36876832610127247,0.3710823945618679,Habitat Generalist,NA,0.542080274680405,1,0
veery,Veery,Catharus fuscescens,0.36995189741985696,0.00149577455027404,0.3670201793013198,0.3728836155383941,Forest,NA,0.6350399020497228,1,0
herthr,Hermit Thrush,Catharus guttatus,0.3695648713423982,6.86744306211332e-4,0.368218852502224,0.3709108901825724,Forest,NA,0.4873168834761481,1,0
gycthr,Gray-cheeked Thrush,Catharus minimus,0.3697777865348321,0.0012252245868894,0.36737634634452887,0.37217922672513537,Forest,NA,0.12955099892468103,0,1
swathr,Swainson's Thrush,Catharus ustulatus,0.3699135362254152,8.495342866121591e-4,0.3682484490236554,0.371578623427175,Forest,NA,0.39177814974459446,1,0
canwre,Canyon Wren,Catherpes mexicanus,0.37000367089983294,0.0027563079588291,0.36460130730052787,0.375406034499138,Aridlands,NA,0.3871385262047937,1,0
saggro,Greater Sage-Grouse,Centrocercus urophasianus,0.36997351467655465,0.00284937753403703,0.36438873470984207,0.3755582946432672,Aridlands,Tipping Point,0.11915513109596532,0,1
baispa,Baird's Sparrow,Centronyx bairdii,0.37011860885217984,0.00301880287869203,0.36420175520994347,0.3760354624944162,Grasslands,Tipping Point,0.2961222832369472,0,1
henspa,Henslow's Sparrow,Centronyx henslowii,0.3699843377012418,0.0028177330615082,0.3644615809006856,0.3755070945017978,Grasslands,Tipping Point,0.5028802964513931,1,0
brncre,Brown Creeper,Certhia americana,0.3699504542425835,7.330293814667456e-4,0.3685137166549087,0.3713871918302583,Forest,NA,0.5479876175341962,1,0
chiswi,Chimney Swift,Chaetura pelagica,0.3698324815454702,0.00343685209646014,0.36309625143640833,0.3765687116545321,Forest,Tipping Point,0.5705569764451646,1,0
vauswi,Vaux's Swift,Chaetura vauxi,0.3697759307707389,0.00687100850575403,0.35630875409946094,0.38324310744201673,Forest,NA,0.4724295703889183,1,0
wrenti,Wrentit,Chamaea fasciata,0.3698919351957056,0.00474520059726616,0.36059134202506393,0.3791925283663473,Aridlands,NA,0.7261579357227674,1,0
mouplo,Mountain Plover,Charadrius montanus,0.3701703579586078,0.01066594412047712,0.34926510748247264,0.391075608434743,Grasslands,Tipping Point,0.20910366646141657,0,1
semplo,Semipalmated Plover,Charadrius semipalmatus,0.3665553101424403,0.00773273213484427,0.35139915515814557,0.3817114651267351,Water/wetland,NA,0.22766780743020967,0,1
killde,Killdeer,Charadrius vociferus,0.3699505224804981,9.730590131609104e-4,0.3680433268147027,0.3718577181462935,Habitat Generalist,NA,0.2714878571767745,0,1
blkter,Black Tern,Chlidonias niger,0.3657472662369008,0.00569075254234909,0.35459339125389655,0.37690114121990503,Water/wetland,NA,0.37597178322387137,0,0
larspa,Lark Sparrow,Chondestes grammacus,0.3700396807403683,8.210045386135037e-4,0.36843051184468584,0.3716488496360508,Grasslands,NA,0.4401620442499702,1,0
lesnig,Lesser Nighthawk,Chordeiles acutipennis,0.3702497448589259,0.00245542823280791,0.3654371055226224,0.3750623841952294,Aridlands,NA,0.29292618905287937,0,1
comnig,Common Nighthawk,Chordeiles minor,0.3699054320226711,7.022143950153082e-4,0.3685290918084411,0.3712817722369011,Habitat Generalist,NA,0.46678572485057845,1,0
bongul,Bonaparte's Gull,Chroicocephalus philadelphia,0.3649007218811281,0.00625918418175326,0.3526327208848917,0.37716872287736447,Water/wetland,NA,0.40209785837393,1,0
amedip,American Dipper,Cinclus mexicanus,0.3699445564756035,0.00360724924804713,0.3628743479494311,0.3770147650017759,Water/wetland,NA,0.3680366670710242,0,0
norhar2,Northern Harrier,Circus hudsonius,0.3698350693306201,6.350589150165002e-4,0.3685903538571877,0.3710797848040524,Habitat Generalist,NA,0.2737114171185264,0,1
marwre,Marsh Wren,Cistothorus palustris,0.3695690282133666,0.00147037868412879,0.3666870859924742,0.37245097043425907,Water/wetland,NA,0.27668945796959576,0,1
sedwre1,sedge wren,Cistothorus stellaris,0.3699725693148064,0.00135849383329529,0.36730992140154767,0.3726352172280652,Grasslands,NA,0.3060672393759767,0,1
lotduc,Long-tailed Duck,Clangula hyemalis,0.326345717671561,0.01340899388417173,0.3000640896585844,0.35262734568453763,Water/wetland,NA,0.4494524536069179,1,0
evegro,Evening Grosbeak,Coccothraustes vespertinus,0.369982110219757,0.00150786736716976,0.3670266901801043,0.37293753025940973,Forest,Tipping Point,0.5484310745222755,1,0
yebcuc,Yellow-billed Cuckoo,Coccyzus americanus,0.37000696161844326,7.598600336603623e-4,0.36851763595246895,0.3714962872844176,Forest,NA,0.6586774566167165,1,0
bkbcuc,Black-billed Cuckoo,Coccyzus erythropthalmus,0.3700417241022262,0.00186658699914149,0.3663832135839089,0.3737002346205435,Forest,Tipping Point,0.5455413064876748,1,0
norfli,Northern Flicker,Colaptes auratus,0.36995915340079527,3.2530316629285935e-4,0.36932155919486126,0.3705967476067293,Forest,NA,0.47398351357512736,1,0
gilfli,Gilded Flicker,Colaptes chrysoides,0.3703788508483044,0.00621956448524971,0.35818850445721495,0.38256919723939387,Aridlands,NA,0.22478312034581904,0,1
norbob,Northern Bobwhite,Colinus virginianus,0.3700086607623496,0.00126997394776217,0.3675195118247357,0.37249780969996343,Forest,NA,0.4950532092307097,1,0
