species,avg,stdev,lower95,upper95,habitat,tipping_pt,sum_cna
incdov,0.3701352295570964,0.01335599375687077,0.3439574817936297,0.39631297732056314,Aridlands,NA,0.3719654210793806
indbun,0.3700162621814666,8.815114674158653e-4,0.3682884997053315,0.3717440246576017,Forest,NA,0.5892770256470761
juntit1,0.3700258041226423,0.00284984469110289,0.3644401085280807,0.375611499717204,Forest,NA,0.22526718012596805
kenwar,0.3700473827030338,0.00165737546668716,0.366798926788327,0.3732958386177406,Forest,NA,0.8521014130123932
killde,0.3699505224804981,9.730590131609104e-4,0.3680433268147027,0.3718577181462935,Habitat Generalist,NA,0.2714878571767745
kineid,0.33141623960224176,0.00745707432203269,0.3168003739310577,0.3460321052734258,Water/wetland,Tipping Point,0.13054724180386773
kinrai4,0.3693932678247638,0.00592364059527694,0.357782932258021,0.3810036033915066,Water/wetland,Tipping Point,0.4553549046414074
labwoo,0.37008644067728974,0.00171088084844736,0.3667331142143329,0.37343976714024657,Aridlands,NA,0.4399409445876685
laplon,0.36834301722975227,0.00238354189803196,0.3636712751096096,0.3730147593498949,Water/wetland,NA,0.26928348400283003
larbun,0.3700961540447405,0.00171979316608192,0.3667253594392199,0.3734669486502611,Grasslands,NA,0.4270067249783922
larspa,0.3700396807403683,8.210045386135037e-4,0.36843051184468584,0.3716488496360508,Grasslands,NA,0.4401620442499702
lawgol,0.37029304070162505,0.00364279612963106,0.3631531602875482,0.3774329211157019,Aridlands,NA,0.5393561017711059
lazbun,0.3700521726952809,9.889749498295489e-4,0.3681137817936149,0.3719905635969468,Forest,NA,0.31374154136679966
leabit,0.3686763394016007,0.00452580804237103,0.3598057556385535,0.37754692316464794,Water/wetland,NA,0.36803405485385543
leafly,0.36998682449716214,9.218904435405888e-4,0.36817991922782256,0.3717937297665017,Forest,NA,0.4530990841118937
leasan,0.3695354623893341,0.0026999193147902,0.3642436205323453,0.3748273042463229,Water/wetland,NA,0.2076846364043484
lecspa,0.3699777696874793,0.0018434047068796,0.3663646964619952,0.3735908429129633,Grasslands,Tipping Point,0.2724867863116056
lecthr,0.37057642785087863,0.00664864494395998,0.3575450837607171,0.3836077719410402,Aridlands,Tipping Point,0.06241992466016199
lesgol,0.3700604868389744,0.00130881566782379,0.3674952081300397,0.372625765547909,Forest,NA,0.3986178240382188
lesnig,0.3702497448589259,0.00245542823280791,0.3654371055226224,0.3750623841952294,Aridlands,NA,0.29292618905287937
lessca,0.3680105734239857,0.00556092120885843,0.35711116785462316,0.3789099789933482,Water/wetland,NA,0.35672767760649443
lesyel,0.3699013964479008,0.00276514094058415,0.3644817202043558,0.3753210726914457,Water/wetland,Tipping Point,0.143280481282732
lewwoo,0.3699219006115389,0.00261749734736867,0.3647916058106963,0.3750521954123815,Forest,NA,0.38266045394756176
libher,0.3698070555954471,0.0027623095055182,0.3643929289646314,0.3752211822262628,Water/wetland,NA,0.43279132793187103
limpki,0.3703089715668843,0.01031252000257097,0.3500964323618452,0.39052151077192343,Water/wetland,NA,0.6350661676005807
linspa,0.3699746281570963,4.8814936208167416e-4,0.3690178554074162,0.3709314009067764,Forest,NA,0.3242030235133256
lobcur,0.3700691868999,0.00444071893244357,0.3613653777923106,0.37877299600748937,Grasslands,NA,0.23663138058882532
lobdow,0.3697201220033733,0.00433559861898741,0.3612223487101579,0.3782178952965886,Water/wetland,Tipping Point,0.1764757900890761
lobthr,0.3701601814522328,0.00536227949212745,0.359650113647663,0.3806702492568026,Aridlands,NA,0.35661449360941333
loeowl,0.3700523665801804,0.00183005253256195,0.366465463616359,0.37363926954400184,Forest,NA,0.21581054162348767
logshr,0.3700156722143642,8.591584114308176e-4,0.3683317217279598,0.3716996227007686,Grasslands,NA,0.35162417038846794
lotduc,0.326345717671561,0.01340899388417173,0.3000640896585844,0.35262734568453763,Water/wetland,NA,0.4494524536069179
louwat,0.3700119040416358,0.00143603279375903,0.3671972797658681,0.37282652831740354,Forest,NA,0.8454778037818712
lucwar,0.37025446333077344,0.00331416511053795,0.36375869971411906,0.3767502269474278,Aridlands,NA,0.25677991645326514
macwar,0.370033244376219,9.98391309226875e-4,0.3680763974101343,0.37199009134230365,Forest,NA,0.3457082425113436
magwar,0.3699326186738051,9.576489034732904e-4,0.3680556268229975,0.3718096105246127,Forest,NA,0.5647462379759389
mallar3,0.36945066301505664,0.00316424190835027,0.3632487488746901,0.3756525771554232,Water/wetland,NA,0.30815198821682444
margod,0.3700097350215099,0.01792780299573027,0.3348712411498786,0.4051482288931412,Water/wetland,NA,0.22063058522815476
marwre,0.3695690282133666,0.00147037868412879,0.3666870859924742,0.37245097043425907,Water/wetland,NA,0.27668945796959576
mcclon,0.37004684218949496,0.00344956941176738,0.3632856861424309,0.376807998236559,Grasslands,Tipping Point,0.3327938142759217
merlin,0.3698018122312136,5.572596259470057e-4,0.36870958336435744,0.37089404109806967,Habitat Generalist,NA,0.2162283376498788
mewgul,0.3322314287040772,0.02178275676398445,0.28953722544666766,0.3749256319614867,Water/wetland,NA,0.0900252108276618
mexjay4,0.37025471591914,0.01125866118212618,0.3481877400021727,0.3923216918361073,Forest,NA,0.3941278174018521
miskit,0.36998536442374014,0.00164197352017108,0.3667670963242048,0.3732036325232755,Forest,NA,0.5819917685316984
motduc,0.3667331394052819,0.00770541273289363,0.3516305304488104,0.38183574836175344,Water/wetland,Tipping Point,0.3466134733469133
