species,avg,stdev,lower95,upper95
kineid,0.3693633655418371,0.06630167903863292,0.23941207462611655,0.49931465645755757
kinrai4,0.3702262402953101,0.006075549543690528,0.3583181631896767,0.3821343174009435
labwoo,0.37006286387922394,0.0017543196988724005,0.366624397269434,0.37350133048901385
laplon,0.37001194611030847,0.002846105407162947,0.36443357951226907,0.37559031270834786
larbun,0.36996963493454543,0.001779235327628524,0.3664823336923935,0.37345693617669734
larspa,0.3700179435839221,8.680435048804751e-4,0.3683165783143564,0.3717193088534878
lawgol,0.37009289706130366,0.0036471661638370206,0.3629444513801831,0.3772413427424242
lazbun,0.3700278822520369,0.0010164194451389777,0.36803570013956455,0.3720200643645093
leabit,0.37004472836310637,0.0042346086103281074,0.3617448954868633,0.37834456123934945
leafly,0.3700197919359494,9.283051344704064e-4,0.36820031387238744,0.3718392699995114
leasan,0.3700206265372304,0.002946014296750184,0.3642464385156,0.37579481455886077
lecspa,0.36995574890701255,0.0019153671661150408,0.3662016292614271,0.373709868552598
lecthr,0.3696116319910077,0.006511150431272644,0.3568497771457133,0.3823734868363021
lesgol,0.3700432786443305,0.0014205603668641024,0.3672589803252769,0.37282757696338414
lesnig,0.37007705158479803,0.002412364770251042,0.365348816635106,0.3748052865344901
lessca,0.37001696839946707,0.005743257359451859,0.3587601839749414,0.38127375282399273
lesyel,0.37005873826970387,0.0030070946170395727,0.3641648328203063,0.3759526437191014
lewwoo,0.3700962452879882,0.002669510551410811,0.364864004607223,0.37532848596875334
libher,0.37000028862713524,0.002965307601922359,0.36418828572736744,0.37581229152690304
limpki,0.3699225934631806,0.010414025331207246,0.3495111038140144,0.39033408311234685
linspa,0.36999168558551154,5.644828093381268e-4,0.3688852992792088,0.37109807189181426
lobcur,0.37000471648182803,0.004318796728471071,0.3615398748940247,0.37846955806963134
lobdow,0.3701990710599628,0.004412769600334694,0.3615500426433068,0.3788480994766188
lobthr,0.37012997427428856,0.0051226791823020205,0.3600895230769766,0.3801704254716005
loeowl,0.3700461379369233,0.0018136815255543979,0.3664913221468367,0.3736009537270099
logshr,0.3700153076978009,8.599448691074915e-4,0.3683298157543502,0.3717007996412516
lotduc,0.36993658922921707,0.021557606702087853,0.3276836800931249,0.41218949836530927
louwat,0.3700346809559677,0.00144547666580565,0.36720154669098864,0.37286781522094675
lucwar,0.37013749781157235,0.003330536795857826,0.363609645691691,0.3766653499314537
macwar,0.3700274719399872,0.0010636578825324058,0.3679427024902237,0.3721122413897507
magwar,0.3700204845325619,9.617578833765123e-4,0.36813543908114393,0.3719055299839799
mallar3,0.37012026072621756,0.0030409873994785394,0.3641599254232396,0.3760805960291955
margod,0.37014277520367267,0.018033661550449723,0.3347967985647912,0.4054887518425541
marwre,0.3699974334079337,0.0014210638463023832,0.367212148269181,0.3727827185466863
mcclon,0.37015119414963044,0.0035256973794272313,0.3632408272859531,0.3770615610133078
merlin,0.36999327715793134,7.36304094078145e-4,0.3685501211335382,0.3714364331823245
mewgul,0.36508567475900056,0.1644038263883444,0.042854175037845554,0.6873171744801556
mexjay4,0.36969566378515767,0.011180441480400418,0.34778199848357283,0.3916093290867425
miskit,0.36997861576915936,0.0016429880566203457,0.3667583591781835,0.3731988723601352
motduc,0.3699276272422845,0.007637296821538072,0.3549585254720699,0.3848967290124991
