"","species_code","common_name","scientific_name","habitat","tipping_pt","avg_37pct","stdev_37pct","lower95_37pct","upper95_37pct","sum_cna","over_upper95_37pct","under_lower95_37pct","avg_44pct","stdev_44pct","lower95_44pct","upper95_44pct","sum_carbon","over_upper95_44pct","under_lower95_44pct","p_value_37pct","p_value_44pct"
"162","easkin","Eastern Kingbird","Tyrannus tyrannus","Grasslands",NA,0.37,9e-04,0.368,0.372,0.46,1,0,0.44,9e-04,0.438,0.442,0.508,1,0,0,0
"163","easmea","Eastern Meadowlark","Sturnella magna","Grasslands",NA,0.37,0.001,0.368,0.372,0.502,1,0,0.44,0.0011,0.438,0.442,0.368,0,1,0,0
"164","easowl1","Eastern Screech-Owl","Megascops asio","Forest",NA,0.37,0.0011,0.368,0.372,0.682,1,0,0.44,0.0011,0.438,0.442,0.652,1,0,0,0
"165","easpho","Eastern Phoebe","Sayornis phoebe","Forest",NA,0.37,7e-04,0.369,0.371,0.67,1,0,0.44,7e-04,0.438,0.441,0.62,1,0,0,0
"166","eastow","Eastern Towhee","Pipilo erythrophthalmus","Forest",NA,0.37,0.001,0.368,0.372,0.71,1,0,0.44,0.001,0.438,0.442,0.699,1,0,0,0
"167","easwpw1","Eastern Whip-poor-will","Antrostomus vociferus","Forest","Tipping Point",0.37,0.0021,0.366,0.374,0.833,1,0,0.44,0.0021,0.436,0.444,0.877,1,0,0,0
"168","eawpew","Eastern Wood-Pewee","Contopus virens","Forest",NA,0.37,8e-04,0.369,0.372,0.607,1,0,0.44,8e-04,0.438,0.442,0.62,1,0,0,0
"169","evegro","Evening Grosbeak","Coccothraustes vespertinus","Forest","Tipping Point",0.37,0.0015,0.367,0.373,0.548,1,0,0.44,0.0016,0.437,0.443,0.882,1,0,0,0
"170","ferhaw","Ferruginous Hawk","Buteo regalis","Grasslands",NA,0.37,0.0013,0.368,0.373,0.348,0,1,0.44,0.0013,0.437,0.443,0.338,0,1,0,0
"171","fiespa","Field Sparrow","Spizella pusilla","Forest",NA,0.37,8e-04,0.368,0.372,0.594,1,0,0.44,8e-04,0.438,0.442,0.55,1,0,0,0
"172","fiscro","Fish Crow","Corvus ossifragus","Habitat Generalist",NA,0.37,0.0028,0.364,0.375,0.587,1,0,0.439,0.0029,0.434,0.445,0.564,1,0,0,0
"173","forter","Forster's Tern","Sterna forsteri","Water/wetland",NA,0.36,0.0057,0.349,0.371,0.467,1,0,0.428,0.0059,0.417,0.44,0.466,1,0,0,0
"174","foxspa","Fox Sparrow","Passerella iliaca","Forest",NA,0.369,8e-04,0.368,0.371,0.291,0,1,0.439,8e-04,0.438,0.441,0.39,0,1,0,0
"175","fragul","Franklin's Gull","Leucophaeus pipixcan","Water/wetland",NA,0.37,0.0083,0.353,0.386,0.477,1,0,0.44,0.0091,0.422,0.458,0.494,1,0,0,0
"176","fuwduc","Fulvous Whistling-Duck","Dendrocygna bicolor","Water/wetland",NA,0.37,0.0083,0.354,0.386,0.216,0,1,0.44,0.0086,0.424,0.457,0.26,0,1,0,0
"177","gadwal","Gadwall","Mareca strepera","Water/wetland",NA,0.37,0.0019,0.366,0.374,0.31,0,1,0.44,0.002,0.436,0.444,0.332,0,1,0,0
"178","gamqua","Gambel's Quail","Callipepla gambelii","Aridlands",NA,0.37,0.0031,0.364,0.376,0.209,0,1,0.44,0.0032,0.434,0.446,0.007,0,1,0,0
"179","gbbgul","Great Black-backed Gull","Larus marinus","Water/wetland","Tipping Point",0.333,0.0148,0.304,0.362,0.783,1,0,0.397,0.0166,0.364,0.429,0.189,0,1,0,0
"180","gilfli","Gilded Flicker","Colaptes chrysoides","Aridlands",NA,0.37,0.0062,0.358,0.383,0.225,0,1,0.44,0.0064,0.428,0.453,0,0,1,0,0
"181","gilwoo","Gila Woodpecker","Melanerpes uropygialis","Aridlands",NA,0.37,0.0052,0.36,0.381,0.324,0,1,0.44,0.0053,0.43,0.451,0.005,0,1,0,0
"182","gloibi","Glossy Ibis","Plegadis falcinellus","Water/wetland",NA,0.369,0.0076,0.355,0.384,0.553,1,0,0.44,0.0077,0.425,0.455,0.513,1,0,0,0
"183","gnttow","Green-tailed Towhee","Pipilo chlorurus","Aridlands",NA,0.37,0.0012,0.368,0.372,0.25,0,1,0.44,0.0013,0.438,0.442,0.455,1,0,0,0
"184","gnwtea","Green-winged Teal","Anas crecca","Water/wetland",NA,0.37,0.0029,0.364,0.375,0.214,0,1,0.439,0.0031,0.433,0.446,0.253,0,1,0,0
"185","gockin","Golden-crowned Kinglet","Regulus satrapa","Forest",NA,0.37,8e-04,0.368,0.371,0.568,1,0,0.44,8e-04,0.438,0.441,0.744,1,0,0,0
"186","gocspa","Golden-crowned Sparrow","Zonotrichia atricapilla","Water/wetland",NA,0.369,0.0017,0.366,0.372,0.306,0,1,0.439,0.0018,0.435,0.442,0.398,0,1,0,0
"187","gofwoo","Golden-fronted Woodpecker","Melanerpes aurifrons","Aridlands",NA,0.37,0.0035,0.363,0.377,0.411,1,0,0.44,0.0035,0.433,0.447,0.094,0,1,0,0
"188","goleag","Golden Eagle","Aquila chrysaetos","Habitat Generalist",NA,0.37,0.0015,0.367,0.373,0.126,0,1,0.44,0.0016,0.437,0.443,0.295,0,1,0,0
"189","gowwar","Golden-winged Warbler","Vermivora chrysoptera","Forest","Tipping Point",0.37,0.0023,0.366,0.375,0.645,1,0,0.44,0.0023,0.435,0.444,0.773,1,0,0,0
"190","graspa","Grasshopper Sparrow","Ammodramus savannarum","Grasslands",NA,0.37,0.0011,0.368,0.372,0.502,1,0,0.44,0.0011,0.438,0.442,0.525,1,0,0,0
"191","grawar","Grace's Warbler","Setophaga graciae","Forest","Tipping Point",0.37,0.0047,0.36,0.379,0.433,1,0,0.44,0.0048,0.431,0.449,0.651,1,0,0,0
"192","grbani","Groove-billed Ani","Crotophaga sulcirostris","Habitat Generalist",NA,0.37,0.0079,0.355,0.386,0.169,0,1,0.44,0.0084,0.424,0.457,0.055,0,1,0,0
"193","grbher3","Great Blue Heron","Ardea herodias","Water/wetland",NA,0.369,9e-04,0.368,0.371,0.414,1,0,0.439,9e-04,0.437,0.441,0.396,0,1,0,0
"194","grcfly","Great Crested Flycatcher","Myiarchus crinitus","Forest",NA,0.37,8e-04,0.368,0.371,0.627,1,0,0.44,8e-04,0.438,0.442,0.601,1,0,0,0
"195","greegr","Great Egret","Ardea alba","Water/wetland",NA,0.369,0.0025,0.364,0.374,0.363,0,1,0.439,0.0026,0.434,0.444,0.371,0,1,0,0
"196","greroa","Greater Roadrunner","Geococcyx californianus","Aridlands",NA,0.37,0.002,0.366,0.374,0.458,1,0,0.44,0.0021,0.436,0.444,0.11,0,1,0,0
"197","gresca","Greater Scaup","Aythya marila","Water/wetland",NA,0.366,0.0069,0.352,0.38,0.242,0,1,0.435,0.007,0.422,0.449,0.214,0,1,0,0
"198","greyel","Greater Yellowlegs","Tringa melanoleuca","Water/wetland",NA,0.37,0.0017,0.366,0.373,0.194,0,1,0.44,0.0017,0.436,0.443,0.188,0,1,0,0
"199","grhowl","Great Horned Owl","Bubo virginianus","Habitat Generalist",NA,0.37,6e-04,0.369,0.371,0.367,0,1,0.44,6e-04,0.439,0.441,0.387,0,1,0,0
"200","grnher","Green Heron","Butorides virescens","Water/wetland",NA,0.37,0.001,0.368,0.372,0.506,1,0,0.44,0.0011,0.438,0.442,0.491,1,0,0,0
"201","grnjay","Green Jay","Cyanocorax yncas","Aridlands",NA,0.37,0.0059,0.359,0.382,0.311,0,1,0.44,0.0059,0.429,0.452,0.058,0,1,0,0
"202","grpchi","Greater Prairie-Chicken","Tympanuchus cupido","Grasslands",NA,0.37,0.0034,0.363,0.377,0.667,1,0,0.44,0.0036,0.433,0.447,0.679,1,0,0,0
"203","grtgra","Great-tailed Grackle","Quiscalus mexicanus","Habitat Generalist",NA,0.37,0.0039,0.362,0.377,0.308,0,1,0.439,0.0041,0.431,0.448,0.106,0,1,0,0
"204","grycat","Gray Catbird","Dumetella carolinensis","Forest",NA,0.37,8e-04,0.368,0.371,0.515,1,0,0.44,8e-04,0.438,0.441,0.548,1,0,0,0
"205","gryfly","Gray Flycatcher","Empidonax wrightii","Forest",NA,0.37,0.0013,0.367,0.373,0.188,0,1,0.44,0.0013,0.437,0.443,0.297,0,1,0,0
"206","gryjay","Canada Jay","Perisoreus canadensis","Forest",NA,0.37,0.0014,0.367,0.373,0.118,0,1,0.44,0.0016,0.437,0.443,0.518,1,0,0,0
"207","grykin","Gray Kingbird","Tyrannus dominicensis","Forest",NA,0.369,0.0271,0.316,0.423,0.297,0,1,0.439,0.029,0.382,0.495,0.245,0,1,0,0
"208","gryvir","Gray Vireo","Vireo vicinior","Forest",NA,0.37,0.0031,0.364,0.376,0.237,0,1,0.44,0.0029,0.434,0.446,0.085,0,1,0,0
"209","gwfgoo","Greater White-fronted Goose","Anser albifrons","Water/wetland",NA,0.37,0.0022,0.366,0.374,0.142,0,1,0.44,0.0021,0.436,0.444,0.152,0,1,0,0
"210","gycthr","Gray-cheeked Thrush","Catharus minimus","Forest",NA,0.37,0.0012,0.367,0.372,0.13,0,1,0.44,0.0013,0.437,0.442,0.203,0,1,0,0
"211","haiwoo","Hairy Woodpecker","Dryobates villosus","Forest",NA,0.37,7e-04,0.369,0.371,0.58,1,0,0.44,8e-04,0.439,0.441,0.752,1,0,0,0
"212","hamfly","Hammond's Flycatcher","Empidonax hammondii","Forest",NA,0.37,0.0015,0.367,0.373,0.404,1,0,0.44,0.0015,0.437,0.443,0.717,1,0,0,0
"213","harduc","Harlequin Duck","Histrionicus histrionicus","Water/wetland",NA,0.314,0.0061,0.302,0.326,0.447,1,0,0.374,0.0061,0.362,0.385,0.112,0,1,0,0
"214","harspa","Harris's Sparrow","Zonotrichia querula","Water/wetland","Tipping Point",0.37,0.0017,0.367,0.373,0.428,1,0,0.44,0.0016,0.437,0.443,0.372,0,1,0,0
"215","henspa","Henslow's Sparrow","Centronyx henslowii","Grasslands","Tipping Point",0.37,0.0028,0.364,0.376,0.503,1,0,0.44,0.003,0.434,0.446,0.481,1,0,0,0
"216","heptan","Hepatic Tanager","Piranga flava","Forest",NA,0.37,0.0049,0.361,0.38,0.441,1,0,0.44,0.005,0.43,0.45,0.388,0,1,0,0
"217","hergul","Herring Gull","Larus argentatus","Water/wetland",NA,0.364,0.0082,0.348,0.38,0.248,0,1,0.433,0.009,0.415,0.45,0.606,1,0,0,0
"218","herthr","Hermit Thrush","Catharus guttatus","Forest",NA,0.37,7e-04,0.368,0.371,0.487,1,0,0.439,7e-04,0.438,0.441,0.652,1,0,0,0
"219","herwar","Hermit Warbler","Setophaga occidentalis","Forest",NA,0.37,0.0033,0.364,0.377,0.611,1,0,0.44,0.0034,0.433,0.447,0.839,1,0,0,0
"220","hoared","Hoary Redpoll","Acanthis hornemanni","Water/wetland",NA,0.368,0.0019,0.365,0.372,0.019,0,1,0.438,0.002,0.434,0.442,0.068,0,1,0,0
"221","hoomer","Hooded Merganser","Lophodytes cucullatus","Water/wetland",NA,0.37,0.0023,0.365,0.375,0.449,1,0,0.44,0.0023,0.435,0.444,0.564,1,0,0,0
"222","hooori","Hooded Oriole","Icterus cucullatus","Aridlands",NA,0.37,0.0031,0.364,0.376,0.335,0,1,0.44,0.0033,0.433,0.446,0.07,0,1,0,0
"223","hoowar","Hooded Warbler","Setophaga citrina","Forest",NA,0.37,0.0017,0.367,0.373,0.878,1,0,0.44,0.0017,0.437,0.443,0.805,1,0,0,0
"224","horgre","Horned Grebe","Podiceps auritus","Water/wetland",NA,0.363,0.0043,0.354,0.371,0.404,1,0,0.431,0.0043,0.423,0.44,0.436,0,0,0,3.59351083053445e-188
"225","horlar","Horned Lark","Eremophila alpestris","Grasslands",NA,0.37,0.0013,0.368,0.372,0.237,0,1,0.44,0.0013,0.437,0.443,0.264,0,1,0,0
"226","houfin","House Finch","Haemorhous mexicanus","Habitat Generalist",NA,0.37,0.0014,0.367,0.373,0.353,0,1,0.44,0.0015,0.437,0.443,0.137,0,1,0,0
"227","houwre","House Wren","Troglodytes aedon","Forest",NA,0.37,5e-04,0.369,0.371,0.423,1,0,0.44,5e-04,0.439,0.441,0.47,1,0,0,0
"228","hrshaw","Harris's Hawk","Parabuteo unicinctus","Aridlands",NA,0.37,0.0056,0.359,0.381,0.311,0,1,0.44,0.0055,0.429,0.451,0.031,0,1,0,0
"229","hudgod","Hudsonian Godwit","Limosa haemastica","Water/wetland","Tipping Point",0.37,0.0034,0.363,0.377,0.196,0,1,0.44,0.0038,0.433,0.447,0.196,0,1,0,0
"230","hutvir","Hutton's Vireo","Vireo huttoni","Forest",NA,0.37,0.0033,0.363,0.376,0.606,1,0,0.44,0.0035,0.433,0.447,0.735,1,0,0,0
