,sps,mean_var,stdev_var,sps_groups.x,sps_groups.y,,Count of spp less than 10% represented,3
156,dowwoo,0.37,0.1%,Forest,NA,,,
81,brnthr,0.37,0.1%,Forest,NA,,,
168,eawpew,0.37,0.1%,Forest,NA,,,
161,easblu,0.37,0.1%,Forest,NA,,,
440,whevir,0.37,0.1%,Forest,NA,,,
274,miskit,0.37,0.2%,Forest,NA,,,
76,brebla,0.37,0.1%,Habitat Generalist,NA,,,
240,larbun,0.37,0.2%,Grasslands,NA,,,
279,mouplo,0.37,1.0%,Grasslands,Tipping Point,,,
316,pilwoo,0.37,0.1%,Forest,NA,,,
334,rebwoo,0.37,0.1%,Forest,NA,,,
255,limpki,0.37,1.0%,Water/wetland,NA,,,
399,sumtan,0.37,0.1%,Forest,NA,,,
353,rocwre,0.37,0.1%,Aridlands,NA,,,
260,loeowl,0.37,0.2%,Forest,NA,,,
429,warvir,0.37,0.1%,Forest,NA,,,
140,compoo,0.37,0.1%,Aridlands,NA,,,
209,gwfgoo,0.37,0.2%,Water/wetland,NA,,,
18,amgplo,0.37,0.4%,Water/wetland,Tipping Point,,,
424,vesspa,0.37,0.1%,Grasslands,NA,,,
124,chispa,0.37,0.1%,Forest,NA,,,
114,casspa,0.37,0.2%,Grasslands,NA,,,
462,wooduc,0.37,0.1%,Water/wetland,NA,,,
219,herwar,0.37,0.3%,Forest,NA,,,
52,bkhgro,0.37,0.1%,Forest,NA,,,
469,yebcha,0.37,0.1%,Forest,NA,,,
470,yebcuc,0.37,0.1%,Forest,NA,,,
340,refwar,0.37,0.9%,Forest,NA,,,
417,uplsan,0.37,0.1%,Grasslands,NA,,,
436,westan,0.37,0.1%,Forest,NA,,,
110,carchi,0.37,0.1%,Forest,NA,,,
93,burowl,0.37,0.2%,Grasslands,NA,,,
128,cintea,0.37,0.3%,Water/wetland,NA,,,
433,wesmea,0.37,0.1%,Grasslands,NA,,,
29,baisan,0.37,0.2%,Water/wetland,NA,,,
183,gnttow,0.37,0.1%,Aridlands,NA,,,
51,bkcspa,0.37,0.4%,Aridlands,Tipping Point,,,
239,laplon,0.37,0.3%,Water/wetland,NA,,,
248,lecthr,0.37,0.6%,Aridlands,Tipping Point,,,
366,sagspa1,0.37,0.2%,Aridlands,NA,,,
190,graspa,0.37,0.1%,Grasslands,NA,,,
58,blctit4,0.37,0.3%,Aridlands,NA,,,
170,ferhaw,0.37,0.1%,Grasslands,NA,,,
96,buwwar,0.37,0.2%,Forest,NA,,,
311,pecsan,0.37,0.4%,Water/wetland,Tipping Point,,,
243,lazbun,0.37,0.1%,Forest,NA,,,
2,acafly,0.37,0.1%,Forest,NA,,,
150,cowscj1,0.37,0.4%,Forest,NA,,,
432,weskin,0.37,0.1%,Grasslands,NA,,,
154,dickci,0.37,0.1%,Grasslands,NA,,,
355,rosgoo,0.37,0.5%,Water/wetland,NA,,,
19,amtspa,0.37,0.1%,Water/wetland,NA,,,
329,pygnut,0.37,0.4%,Forest,NA,,,
465,woothr,0.37,0.1%,Forest,Tipping Point,,,
167,easwpw1,0.37,0.2%,Forest,Tipping Point,,,
265,macwar,0.37,0.1%,Forest,NA,,,
241,larspa,0.37,0.1%,Grasslands,NA,,,
171,fiespa,0.37,0.1%,Forest,NA,,,
458,wiltur,0.37,0.1%,Forest,NA,,,
229,hudgod,0.37,0.4%,Water/wetland,Tipping Point,,,
383,smilon,0.37,0.4%,Water/wetland,NA,,,
454,wilpha,0.37,1.8%,Water/wetland,NA,,,
414,tuftit,0.37,0.1%,Forest,NA,,,
101,calqua,0.37,0.3%,Aridlands,NA,,,
92,bulori,0.37,0.1%,Forest,NA,,,
205,gryfly,0.37,0.1%,Forest,NA,,,
