species,sum_cna
tuftit,0.755552373385914
tunswa,0.1331055716771651
turvul,0.5427318356788966
uplsan,0.4651645637883579
varbun,0.40946203963846983
varthr,0.39759333978297384
vauswi,0.478651340210547
veery,0.6364708441427629
verdin,0.29130215302680584
verfly,0.4996760483655862
vesspa,0.36844880373305267
vigswa,0.34637646513299103
virrai,0.3198791051196418
virwar,0.33237196983106887
wantat1,0.834144749543384
warvir,0.37344497061742904
wesblu,0.4454934645512658
wesgre,0.498732491384362
weskin,0.3678597936407709
wesmea,0.4172123662082036
wesowl1,0.42136711414574957
wessan,0.35635075190077414
westan,0.36650145938847334
wewpew,0.38154482702862325
whbnut,0.6339254800162126
whcspa,0.3345558106372837
whevir,0.7518119302616801
whfibi,0.16418873740074197
whhwoo,0.7313699880962758
whiibi,0.4755880504179856
whimbr,0.2904856831811591
whrsan,0.23619853451501896
whtkit,0.3193721782978969
whtspa,0.5673588859930652
whtswi,0.2935824712699855
whwcro,0.10886570444885874
whwdov,0.3892658341876753
whwsco2,0.5570884537907796
wilfly,0.35105151506444443
willet1,0.32463320603891566
wilpha,0.09476090793112449
wilpta,0.0023102843763425085
wilsap,0.46481568121321715
wilsni1,0.2845584633798926
wiltur,0.6165918836500364
winwre3,0.6550245531079082
wlswar,0.35122489749523
woewar1,0.8581456311573348
wooduc,0.4637674602459594
wooscj2,0.2933392215576305
woosto,0.47675531090219403
woothr,0.7499920568202717
wrenti,0.7261579357227674
y00475,0.28157332083901965
y00678,0.4458501379516704
yebcha,0.6193194879577837
yebcuc,0.6588156959981911
yebfly,0.44860961306141967
yebloo,0.4048254790156989
yebmag,0.5757564406521851
yebsap,0.6828287196890841
yehbla,0.3219128982895437
yelwar,0.37931012325443714
yerwar,0.46144229379370616
yetvir,0.7189394900795453
yetwar,0.7780058799321682
